Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14
;Perkembangan Nilai Tukar Petani (Persen);;;;;;;;;;;;
;;2025;;;;;;;;;;;
Perkmbangan;Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;November;Desember;Tahunan
NTP;109,33;111,88;115,2;116,28;117,98;122,4;124,18;123,7;124,44;127,2;128,84;128,53;-
NTUP;110,44;113,63;118,05;119,82;121,09;125,6;126,2;125,1;125,4;128,02;130,28;130,68;-
